intervention_name,category,type,evidence_grade,dosage,timing,form,genetic_relevance,mechanism,success_rate,population,synergies,contraindications,cost_estimate,accessibility,clinical_notes,citation_summary,languages_supporting
Angelica Root,nutrition,herbal,B (traditional),6-12 g daily decoction,Traditional preparation,Herbal decoction,Blood deficiency (Korean/Chinese TCM),Hematopoietic effects (WBC 10x; RBC 3.6x),Seoul National University research,Blood deficiency pattern,Traditional formulas,Consult qualified practitioner,$$,Moderate (regional),Seoul National University research; Korean/Chinese TCM,Korean/Chinese,2/8
Perilla Oil,nutrition,food,B,2 tablespoons daily,Use in cooking/dressings,Food oil,Omega-3 source (Korean traditional),61.3% omega-3; traditional Korean source,Not quantified,General population,Fish oil (ALA conversion only 5-10%),$,Moderate (regional),Korean nutritional research,Korean,2/8
Cheonggukjang,nutrition,food,B,Daily serving,Fermented soybean paste,Fermented food,General nutritional (Korean traditional),98% amino acid absorption vs 55% raw soy; high lysine 175mg/100g,Not quantified,General population,Traditional fermented foods,$,Moderate (regional),Korean nutritional research; traditional dietary medicine,Korean,2/8
UC-II (Undenatured Type II Collagen),nutrition,supplement,B (OA inflammation) / NOT for structure,40 mg daily (NOT grams!),Morning on empty stomach,UC-II certified,Cartilage inflammation (NOT ligament structure),Oral tolerance via GALT; NOT absorbed systemically,Moderate for OA inflammation,OA inflammation,NOT for ligament structure,NOT for ligament structure; inflammation only,$$,Moderate,Spanish/Argentinian protocols; clinical studies,Spanish/Portuguese,4/8
Green Tea Extract,nutrition,supplement,B,300 mg daily,Morning or afternoon (avoid evening),EGCG-standardized extract,General antioxidant/anti-inflammatory,Catechins provide antioxidant effects,Not quantified,General population,Antioxidant network,Caffeine may affect sleep,$$,Easy,Asian traditional + modern research,Multiple,6/8
Pycnogenol,nutrition,supplement,C,100-200 mg daily,With meals,Pine bark extract,General antioxidant (EDS anecdotal),OPC provide antioxidant effects,Not quantified,General + EDS anecdotal,Antioxidant network,None major,$$$,Moderate,German research; EDS anecdotal protocols,German/Multiple,4/8
MSM (Methylsulfonylmethane),nutrition,supplement,D,1000-3000 mg daily,With meals,MSM powder or capsules,General anti-inflammatory/joint,Provides sulfur for crosslinks (theoretical),Not quantified,General population,Collagen synthesis support,Limited clinical data,$$,Easy,Supplement industry research; limited clinical data,Multiple,5/8
Resveratrol,nutrition,supplement,C,150-500 mg daily,With meals,Supplement,General antioxidant/anti-inflammatory,Polyphenol antioxidant; activates sirtuins,Not quantified,General population,Antioxidant network,None major,$$,Easy,General antioxidant research,Multiple,6/8
Boron,nutrition,supplement,C,3-6 mg daily,With food,Sodium borate or chelate,Vitamin D metabolism,Inhibits vitamin D degradation; regulates collagen gene expression,Not quantified,Vitamin D support,Vitamin D + K2 + Magnesium,None major,$,Easy,German/Chinese research,Multiple,5/8
Probiotics,nutrition,supplement,B (GI symptoms),Daily (specific strains vary),With or without food,Multi-strain including Bifidobacteria,"PEMT/FUT2 variants; GI symptoms (86% Cuban study)",FUT2 non-secretors have altered microbiome; supports choline recycling,Not quantified for hypermobility,GI symptoms,Low FODMAP diet,None major,$$,Easy,FUT2 research; Cuban study; Argentinian protocols,Multiple,6/8
L-Carnitine,nutrition,supplement,B,500-1000 mg 2x daily,With meals,L-Carnitine or Acetyl-L-Carnitine,PPARGC1A/mitochondrial support,Transports fatty acids for ATP; acetyl form for brain,Not quantified,PPARGC1A variants,CoQ10 + PQQ + ALA (mitochondrial quartet),None major,$$,Easy,Mitochondrial research,Multiple,7/8
Vitamin C + Collagen Pre-Exercise Timing,nutrition,timing protocol,A (mechanism) / Unproven (clinical laxity reversal),15-30g collagen + 50mg vitamin C,60 minutes BEFORE exercise,Nutritional timing,Systemic collagen synthesis support,Peak amino acids during mechanical loading; PINP +153%,153% PINP increase vs placebo,Athletes + tendon loading,Exercise timing,None; effectiveness for laxity reversal unproven,$$,Easy,Shaw et al 2017; mechanism proven for tendons,English/Multiple,5/8
AVOID: Excess Zinc without Copper,nutrition,contraindication,A,NEVER exceed 50mg zinc without proportional copper,Maintain 8:1 to 15:1 ratio,Safety concern,All genotypes,Zinc induces metallothionein → binds copper → depletion → impairs lysyl oxidase,Not applicable,All genotypes,Maintain proper ratio,Universal contraindication,N/A,N/A,German/French/Spanish warnings; biochemistry,All languages,8/8
AVOID: General Multivitamins,nutrition,contraindication,C,Do not use general multivitamins,Use targeted supplementation,Argentinian EDS protocol,EDS/hypermobility,Often contain folic acid + inadequate doses + free metal ions,Not applicable,EDS/hypermobility,Targeted supplementation based on genetics,Argentinian Red Ehlers-Danlos explicit recommendation,N/A,N/A,Argentinian EDS protocol,Spanish,2/8
AVOID: Vitamin C IV Megadose with GPX1,nutrition,contraindication,A,Absolutely avoid without antioxidant support,Contraindicated route,GPX1 homozygous,Generates massive H2O2; dangerous oxidative stress without GPx1,Not applicable,GPX1 homozygous,Build antioxidant defense first,DANGEROUS per Spanish explicit warning,N/A,N/A,Spanish clinical warnings; German/Japanese cautions,Spanish/German/Japanese,4/8
AVOID: Artificial Sweeteners,nutrition,contraindication,D,Eliminate from diet,Use natural sweeteners if needed,Argentinian EDS protocol,EDS/hypermobility (GI concerns),Theoretical GI microbiome concerns,Not applicable,EDS population,Natural alternatives,Argentinian protocol recommends avoiding,N/A,Easy,Argentinian EDS protocol,Spanish,2/8
AVOID: Long-Term NSAIDs,treatment,contraindication,A,Limit NSAID use,Pain management strategy,EDS/hypermobility + GI,86% GI symptoms in EDS; NSAIDs worsen,Not applicable,EDS/hypermobility,Alternative pain management,Spanish protocols recommend avoidance,N/A,N/A,Spanish clinical guidelines,Spanish/Multiple,6/8
AVOID: Long-Term Opioids,treatment,contraindication,A,Non-opioid pain management prioritized,Pain management strategy,Chronic pain in EDS,Spanish protocols recommend avoiding; addiction risk,Not applicable,EDS/chronic pain,Multimodal pain management,Spanish explicit recommendation,N/A,N/A,Spanish clinical guidelines,Spanish/Multiple,5/8
AVOID: Surgery When Possible,treatment,contraindication,A (recommendation),Avoid unless absolutely necessary,Clinical decision-making,Hypermobility/EDS,78% require surgery; 61% require re-operation; poor outcomes,Poor outcomes in hypermobile,Hypermobile/EDS,Conservative management maximization,Spanish literature: poor surgical outcomes,N/A,N/A,Spanish clinical experience,Spanish,3/8
AVOID: High-Impact/End-Range Loading,exercise,contraindication,A,Avoid end-range flexion with load,Exercise modification,Hypermobility/EDS,Damages already-lax ligaments; 40% yoga injuries in hypermobile,Not applicable,Hypermobile/EDS,Controlled ROM exercise,Japanese/Chinese warnings; yoga injury data,N/A,Easy,Japanese/Chinese sources; yoga injury literature,Japanese/Chinese,5/8
AVOID: Superman Exercises,exercise,contraindication,A,Do not perform,Exercise modification,Spinal instability,Generates >6000N compression; damages facets and ligaments,Not applicable,Spinal instability,Safe core alternatives,German/French consensus contraindication,N/A,Easy,German/French consensus,German/French,4/8
AVOID: Repeat ADSC (Adipose Stem Cells),injection,contraindication,C,Single injection maximum,Safety warning,General,First safe; repeat = 53% severe arthritis (Japanese warning),53% severe arthritis with repeat,All considering ADSC,Single injection only,Japanese explicit warning on repeat,N/A,N/A,Japanese warning data,Japanese/Chinese,2/8
MONITORING: Calcium Levels,nutrition,monitoring,A,Every 3 months on high-dose vitamin D,Blood test - corrected for albumin or ionized,High-dose vitamin D,Monitor hypercalcemia risk; toxicity >10.5 mg/dL,Not applicable,High-dose vitamin D users,Vitamin D + K2 + Magnesium,None,$,Easy,All vitamin D protocols,All languages,8/8
MONITORING: Selenium Levels,nutrition,monitoring,A,After 1-3 months; then every 6-12 months,Blood test - plasma selenium,Selenium 200 mcg daily,Target 70-100 μg/L (GPx saturation); toxicity >160 μg/L,Not applicable,Selenium supplementation,Antioxidant support,None,$,Easy,Korean/German protocols,Multiple,7/8
MONITORING: Inflammatory Markers,nutrition,monitoring,B,Baseline; 3 months; 6 months,Blood test - hs-CRP / IL-6,IL-6 homozygous + anti-inflammatory,Track inflammatory marker reduction,Not applicable,IL-6 variants,Anti-inflammatory protocol,None,$$,Moderate,All protocols,All languages,8/8
MONITORING: Liver Function,nutrition,monitoring,A,Baseline and every 3-6 months,Blood test - ALT/AST hepatic panel,High-dose supplements (NAC/curcumin/choline),Choline deficiency shows as elevated enzymes; safety monitoring,Not applicable,High-dose supplement protocols,Comprehensive supplementation,None,$,Easy,Portuguese/Korean protocols,Multiple,7/8
MONITORING: Kidney Function,nutrition,monitoring,A,Baseline and every 6 months,Blood test - creatinine renal panel,Vitamin C >1000mg; general safety,Vitamin C >2000mg increases kidney stone risk,Not applicable,High-dose vitamin C users,Comprehensive supplementation,None,$,Easy,All comprehensive protocols,All languages,8/8
MONITORING: Zinc and Copper Levels,nutrition,monitoring,A,Baseline and every 6 months,Blood test - serum zinc and copper,Zinc/copper supplementation,Monitor ratio; ensure copper not depleted,Not applicable,Zinc/copper supplementation,Maintain proper ratio,None,$,Easy,French/German protocols,Multiple,7/8
